filename,basename,variable,scenario,gcm,model,timestep,spatial_res,biascorrection,calendar,units,variable_name_long,variable_units,daily_variable_name_long
rsds_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,rsds_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,rsds,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,rsds_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,rsds,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,rsds_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,rsds,ssp370,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,rsds_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,rsds,ssp585,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
sfcWind_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWind_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWind,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWind,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWind,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWind,ssp370,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWind,ssp585,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWindmax_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWindmax_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWindmax,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWindmax,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,sfcWindmax,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
